ADVANCED INFO SERVICE,ADVANCED INFO SER. |9
AIRPORTS OF THAILAND,AIRPORTS OF THAILAND |34
AMATA CORPORATION,ASIAN SEA CORPORATION |45
ASIA AVIATION,ASIA AVIATION |4
ASIA SERMKIJ LEASING,ASIA SERMKIJ LEASING |47
BANGCHAK CORPORATION,BANGCHAK CORPORATION ORS |61
BANGKOK AVIATION FUEL SERVICES PCL.,BGK.AVIATION FUEL SVS. |55
BANGKOK BANK,BANGKOK BANK |59
BANGKOK BANK PLC.,BANGKOK BANK |59
BANGKOK DUSIT MEDICAL SERVICES,BANGKOK DUSIT MED.SVS. |64
BANGKOK EXPRESSWAY,BANGKOK EXPRESSWAY AND METRO |67
BANGKOK INSURANCE,BANGKOK INSURANCE |76
BANGKOK LIFE ASSURANCE,BANGKOK LIFE ASSURANCE |78
BANK OF AYUDHYA,BANK OF AYUDHYA |58
BANK OF AYUDHYA PLC.,BANK OF AYUDHYA |58
BANK OF THAILAND,AIRPORTS OF THAILAND |34